Ticker,Company Name,Sector,Category,Status,Sentiment,Price When Added,Date Added,TradingView
GOOGL,Alphabet Inc.,Tech,"Large Cap, AI",Watching,Neutral,327.93,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-GOOGL/
AMZN,Amazon.com Inc.,Tech,"Large Cap, AI",Watching,Neutral,239.16,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-AMZN/
NVDA,NVIDIA Corporation,Tech,"Large Cap, AI",Watching,Neutral,187.67,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-NVDA/
INTC,Intel Corporation,Tech,Large Cap,Watching,Neutral,45.07,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-INTC/
MU,Micron Technology,Tech,Large Cap,Watching,Neutral,399.65,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-MU/
TSM,Taiwan Semiconductor,Tech,Large Cap,Watching,Neutral,334.87,2026-01-24,https://www.tradingview.com/symbols/TSM/
MRVL,Marvell Technology,Tech,AI,Watching,Neutral,80.23,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-MRVL/
CRM,Salesforce Inc.,Tech,"Large Cap, AI",Watching,Neutral,228.05,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-CRM/
ASML,ASML Holding N.V.,Semiconductors,Large Cap,Watching,Neutral,1389.04,2026-01-24,https://www.tradingview.com/symbols/ASML/
AMAT,Applied Materials,Semiconductors,Large Cap,Watching,Neutral,322.38,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-AMAT/
LRCX,Lam Research,Semiconductors,Large Cap,Watching,Neutral,217.94,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-LRCX/
APH,Amphenol Corporation,Semiconductors,,Watching,Neutral,150.99,2026-01-24,https://www.tradingview.com/symbols/APH/
RMBS,Rambus Inc.,Semiconductors,,Watching,Neutral,115.31,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-RMBS/
SIMO,Silicon Motion,Semiconductors,Small Cap,Watching,Neutral,112.93,2026-01-24,https://www.tradingview.com/symbols/SIMO/
TSEM,Tower Semiconductor,Semiconductors,,Watching,Neutral,128.62,2026-01-24,https://www.tradingview.com/symbols/TSEM/
STX,Seagate Technology,Semiconductors,,Watching,Neutral,346.10,2026-01-24,https://www.tradingview.com/symbols/STX/
SNDK,SanDisk Corporation,Semiconductors,,Watching,Neutral,473.83,2026-01-24,https://www.tradingview.com/symbols/SNDK/
WDC,Western Digital,Semiconductors,,Watching,Neutral,236.39,2026-01-24,https://www.tradingview.com/symbols/WDC/
PSTG,Pure Storage,Semiconductors,,Watching,Neutral,69.75,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-PSTG/
NTAP,NetApp Inc.,Semiconductors,,Watching,Neutral,97.42,2026-01-24,https://www.tradingview.com/symbols/NTAP/
RTX,RTX Corporation,Defense,Large Cap,Watching,Neutral,195.93,2026-01-24,https://www.tradingview.com/symbols/RTX/
HII,Huntington Ingalls,Defense,,Watching,Neutral,418.58,2026-01-24,https://www.tradingview.com/symbols/HII/
LDOS,Leidos Holdings,Defense,,Watching,Neutral,191.23,2026-01-24,https://www.tradingview.com/symbols/LDOS/
KTOS,Kratos Defense,Defense,Small Cap,Watching,Neutral,110.39,2026-01-24,https://www.tradingview.com/symbols/KTOS/
HEI,HEICO Corporation,Defense,,Watching,Neutral,334.41,2026-01-24,https://www.tradingview.com/symbols/HEI/
TDY,Teledyne Technologies,Defense,,Watching,Neutral,610.66,2026-01-24,https://www.tradingview.com/symbols/TDY/
MOG-A,Moog Inc.,Defense,,Watching,Neutral,291.59,2026-01-24,https://www.tradingview.com/symbols/MOG-A/
AVAV,AeroVironment,Defense,,Watching,Neutral,307.75,2026-01-24,https://www.tradingview.com/symbols/AVAV/
BAESY,BAE Systems,Defense,Large Cap,Watching,Neutral,111.16,2026-01-24,https://www.tradingview.com/symbols/BAESY/
PKE,Park Aerospace,Defense,Small Cap,Watching,Neutral,24.41,2026-01-24,https://www.tradingview.com/symbols/PKE/
RKLB,Rocket Lab,Space,"Small Cap, Speculative",Watching,Neutral,88.90,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-RKLB/
PL,Planet Labs,Space,"Small Cap, Speculative",Watching,Neutral,26.94,2026-01-24,https://www.tradingview.com/symbols/PL/
